School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Community_Type,Charter,Magnet,Relig_subtype,Title 1 School,Title 1 School Wide,type,Street Address,City,State,ZIP,PSS_COUNTY_NO,County FIPS,Locale,County Name
Lake Area Christian School,A9303515,,,8,,7.22,,,,,,,,,,,,,,,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,63590 BORGERT RD,STURGIS,MI,49091,26149,149,Rural: Distant,ST. JOSEPH
Lake Michigan Academy,A9103505,,,24,,6.08,,,,,,,,0,0,7.14,0,0,88.09,4.76,,,,Coed,Nonsectarian,City,No,No,Nonsectarians,No,No,private,2428 BURTON ST SE,GRAND RAPIDS,MI,49546,26081,81,City: Midsize,KENT
Lake Michigan Catholic School,A1502026,,,80,,11.41,,,,,,,,1.24,2.48,3.1,4.96,0,84.47,3.72,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,915 PLEASANT ST,SAINT JOSEPH,MI,49085,26021,21,Suburb: Small,BERRIEN
Lake Orion Baptist School,A0501988,,,27,,5.42,,,,,,,,0,1.75,0,0,0,98.24,0,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,255 E SCRIPPS RD,LAKE ORION,MI,48360,26125,125,Suburb: Large,OAKLAND
Lakecrest Baptist School,A0104649,,,17,,6.44,,,,,,,,0,0,1.49,10.44,0,65.67,22.38,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,35 AIRPORT RD,WATERFORD,MI,48327,26125,125,Suburb: Large,OAKLAND
Learning Disabilities Clinic- Inc.,A1502030,,,64,,9.9,,,,,,,,0,0,51.96,0,0,48.03,0,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,25611 COOLIDGE HWY,OAK PARK,MI,48237,26125,125,Suburb: Large,OAKLAND
Lenawee Christian School,644996,,,202,,16.53,,,,,,,,0.4,3.42,1,7.25,0,85.48,2.41,,,,Coed,Other Religious,Town,No,No,Christian (no denomination specified),No,No,private,111 WOLF CREEK HWY,ADRIAN,MI,49221,26091,91,Town: Distant,LENAWEE
Libertas Christian School,A1702070,,,57,,12.84,,,,,,,,0,0,1.7,1.27,0,97.02,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,5181 64TH AVE,HUDSONVILLE,MI,49426,26139,139,Rural: Fringe,OTTAWA
Livingston Christian Schools,BB201065,,,62,,9.73,,,,,,,,0,1.34,0,1.34,0,97.31,0,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,7669 BRIGHTON RD,BRICHTON,MI,48116,26093,93,Suburb: Midsize,LIVINGSTON
Loyola High School,A9502346,,,159,,10.67,,,,,,,,0,0,98.11,0,0,1.25,0.62,,,,Male_Only,Catholic,City,No,No,Roman Catholic,No,No,private,15325 PINEHURST ST,DETROIT,MI,48238,26163,163,City: Large,WAYNE
Lumen Christi Catholic School,640084,,,307,,11.43,,,,,,,,1.11,0.67,2.68,7.6,0,82.99,4.92,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,3483 SPRING ARBOR RD,JACKSON,MI,49203,26075,75,Suburb: Small,JACKSON
Lutheran High School North,642059,,,560,,16,,,,,,,,0,3.03,0.53,0.71,0,95.71,0,,,,Coed,Other Religious,Suburban,No,No,Lutheran Church – Missouri Synod,No,No,private,16825 24 MILE RD,MACOMB,MI,48042,26099,99,Suburb: Large,MACOMB
Mccully'S Educational Resource Center,A1702075,,,79,,60,,,,,,,,,,,,,,,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,7664 N CANTON CENTER RD,CANTON,MI,48187,26163,163,Suburb: Large,WAYNE
Meadow Montessori School,A9103516,,,15,,8.41,,,,,,,,0,0.85,1.7,1.7,0,95.72,0,,,,Coed,Nonsectarian,Rural,No,No,Nonsectarians,No,No,private,1670 S RAISINVILLE RD,MONROE,MI,48161,26115,115,Rural: Fringe,MONROE
